==========================================================================================
L ‚Æ mod ‚Ì peakˆê’v—¦‚Ü‚Æ‚ß
L | mod | L%mod | match/total | rate
------------------------------------------------------------------------------------------
 6 |   3 |     0 |   2/5   | 0.400
 6 |   5 |     1 |   5/5   | 1.000
 6 |   7 |     6 |   0/5   | 0.000
 6 |  11 |     6 |   1/5   | 0.200
 8 |   3 |     2 |   0/8   | 0.000
 8 |   5 |     3 |   1/8   | 0.125
 8 |   7 |     1 |   8/8   | 1.000
 8 |  11 |     8 |   2/8   | 0.250
11 |   3 |     2 |   0/12  | 0.000
11 |   5 |     1 |  12/12  | 1.000
11 |   7 |     4 |   2/12  | 0.167
11 |  11 |     0 |   0/12  | 0.000
12 |   3 |     0 |   5/14  | 0.357
12 |   5 |     2 |   2/14  | 0.143
12 |   7 |     5 |   4/14  | 0.286
12 |  11 |     1 |  14/14  | 1.000
15 |   3 |     0 |   4/18  | 0.222
15 |   5 |     0 |   2/18  | 0.111
15 |   7 |     1 |  18/18  | 1.000
15 |  11 |     4 |   2/18  | 0.111
16 |   3 |     1 |  20/20  | 1.000
16 |   5 |     1 |  20/20  | 1.000
16 |   7 |     2 |   5/20  | 0.250
16 |  11 |     5 |   0/20  | 0.000
21 |   3 |     0 |   6/27  | 0.222
21 |   5 |     1 |  27/27  | 1.000
21 |   7 |     0 |   2/27  | 0.074
21 |  11 |    10 |   1/27  | 0.037
22 |   3 |     1 |  29/29  | 1.000
22 |   5 |     2 |   5/29  | 0.172
22 |   7 |     1 |  29/29  | 1.000
22 |  11 |     0 |   2/29  | 0.069
23 |   3 |     2 |   0/30  | 0.000
23 |   5 |     3 |   9/30  | 0.300
23 |   7 |     2 |   8/30  | 0.267
23 |  11 |     1 |  30/30  | 1.000
26 |   3 |     2 |   0/35  | 0.000
26 |   5 |     1 |  35/35  | 1.000
26 |   7 |     5 |  11/35  | 0.314
26 |  11 |     4 |   7/35  | 0.200
29 |   3 |     2 |   0/39  | 0.000
29 |   5 |     4 |   1/39  | 0.026
29 |   7 |     1 |  39/39  | 1.000
29 |  11 |     7 |  10/39  | 0.256
34 |   3 |     1 |  47/47  | 1.000
34 |   5 |     4 |   1/47  | 0.021
34 |   7 |     6 |   1/47  | 0.021
34 |  11 |     1 |  47/47  | 1.000
